Obj1,Obj2,Figure1,Figure2,Acc,Acc_exp_transform,RT,Skel,Skel_log_transformed,GBJ,GIST,HMAX,conv1,conv2,conv3,conv4,conv5,fc6,fc7,fc8
104,32,Figure_104,Figure_32,0.837837838,2.311364027,2745.351351,73.79,4.3,208.86,0.0967,0.26,28570.3,23619.51,13853.78,7169.79,3515.54,510.76,176.28,41.91
104,36,Figure_104,Figure_36,0.757575758,2.1330988,2067.575758,124.69,4.83,193.5,0.1023,0.22,29565.42,21867.03,12144.86,6353.8,3088.79,500.01,175.29,51.4
104,39,Figure_104,Figure_39,0.903225806,2.467550125,1833.258065,79.56,4.38,204.25,0.1175,0.33,28028.94,21940.92,13254.31,6654.62,3321.91,484.03,178.24,41.72
104,43,Figure_104,Figure_43,0.764705882,2.14836241,2468.470588,95.02,4.55,182.2,0.072,0.13,28217.12,21927.21,12118.51,6261.75,2965.83,414.85,142.27,38.53
104,44,Figure_104,Figure_44,0.857142857,2.356418442,2322.628571,100.17,4.61,176.16,0.0802,0.1,26110.72,19308.7,10975.46,5714.04,2799.28,443.72,170.17,46.74
104,48,Figure_104,Figure_48,0.571428571,1.770794952,2853.914286,72.91,4.29,210.08,0.1163,0.21,28084.75,22891.5,13293.43,6919.78,3257.34,496.41,167.43,39.26
104,56,Figure_104,Figure_56,0.71875,2.051866773,1940,88.15,4.48,162.28,0.0612,0.1,25314.81,17981.32,10117.12,5289.03,2632.23,454.71,175.36,50.71
104,61,Figure_104,Figure_61,0.766666667,2.152579019,2398.8,112.61,4.72,223.65,0.1215,0.1,30931.35,25432.28,13898.87,6939.63,3290.41,462.2,151.81,37.58
104,71,Figure_104,Figure_71,0.794117647,2.21248794,1883.029412,85.48,4.45,233.39,0.1574,0.19,29106.52,24651.8,14705.92,7477.94,3648.01,497.09,167.16,43.7
104,76,Figure_104,Figure_76,0.742857143,2.101932465,2438.485714,73.5,4.3,215.53,0.1133,0.23,31080.8,25517.45,14621.03,7534.37,3638.55,519.56,187.82,54.12
104,83,Figure_104,Figure_83,0.617647059,1.854559236,2061.941176,75.28,4.32,184.68,0.0781,0.1,26612.09,20372.44,12004.35,6319.87,3123.93,471.87,166.4,42.01
104,85,Figure_104,Figure_85,0.848484848,2.336104616,2165.969697,71.85,4.27,208.41,0.0841,0.22,28460.21,22745,13454.16,7000.57,3348.76,482.71,167.6,50.67
104,90,Figure_104,Figure_90,0.75,2.117000017,2276.21875,57.15,4.05,187.51,0.1039,0.2,27424.11,21976.5,12458.86,6444.43,3059.69,452.12,161.02,45.41
106,100,Figure_106,Figure_100,0.9375,2.553589458,2215.125,63.76,4.16,174.96,0.0675,0.24,25343.43,18397.1,10390.32,5564.81,2757.73,444.33,152.96,41.65
106,103,Figure_106,Figure_103,0.852941176,2.346538295,2065.323529,77.35,4.35,174.75,0.0526,0.12,25686.37,19279.05,10950.09,5808.99,2900.87,499.72,169.07,43.98
106,107,Figure_106,Figure_107,0.677419355,1.968790422,2276.16129,59.47,4.09,180.13,0.0578,0.13,25406.72,18493.42,10474.8,5528.79,2683.23,413.24,138.2,36.03
106,108,Figure_106,Figure_108,0.857142857,2.356418442,3278.914286,81.13,4.4,224.62,0.1099,0.4,26000.22,21144.35,12528.99,6596.29,3266.32,599.82,202.68,52.12
106,116,Figure_106,Figure_116,0.837837838,2.311364027,2252.72973,94.72,4.55,202.6,0.071,0.69,24516.27,19863.55,11783.79,6289.55,3131.87,465.66,162.85,41.56
106,39,Figure_106,Figure_39,0.911764706,2.488710503,1689.970588,83.85,4.43,184.03,0.0645,0.14,26362.51,19653.86,11595.15,6125.51,3141.36,490.28,162.65,42.39
106,43,Figure_106,Figure_43,0.888888889,2.432425455,2217.583333,102.57,4.63,210.09,0.091,0.33,26151.06,21592.19,12655.71,6644.67,3283.21,520.34,181.92,45.07
106,44,Figure_106,Figure_44,0.9,2.459603111,1975.966667,108.69,4.69,204.76,0.104,0.43,25664.29,21043.34,12017.77,6240.55,3072.93,500.22,165.53,40.9
106,48,Figure_106,Figure_48,0.870967742,2.389221885,1439.709677,87.71,4.47,188.85,0.0759,0.23,25927.44,19749.3,11538.82,6095.82,3000.18,542.8,211.2,48.83
106,76,Figure_106,Figure_76,0.818181818,2.266375406,1915.969697,76.27,4.33,212.35,0.1055,0.4,28269.69,22299.73,12814.78,6600.9,3260.28,553.6,168.7,45.95
106,83,Figure_106,Figure_83,0.885714286,2.424715714,2158.6,83.19,4.42,188.72,0.0652,0.26,24252.14,19607.9,11171.7,5932.06,2854.45,507.34,175.87,44.22
107,100,Figure_107,Figure_100,0.852941176,2.346538295,2333.5,78.01,4.36,199.44,0.084,0.39,26290.05,19984.86,11862.13,6194.25,2991.76,444.73,149.75,39.47
107,103,Figure_107,Figure_103,0.75,2.117000017,2517.5,57.88,4.06,172,0.0538,0.13,25821.32,18459.75,10142.53,5251.92,2508.95,412.41,141.57,33.49
107,108,Figure_107,Figure_108,0.8,2.225540928,2012.2,89.74,4.5,221.07,0.1036,0.41,26050.48,20329.49,12327.08,6496.17,3191.44,541.78,184.19,43.09
107,116,Figure_107,Figure_116,0.8125,2.253534787,1883.125,77.18,4.35,205.68,0.0771,0.86,24886.74,20045.94,12391.91,6491.67,3261.03,491.47,165.78,40.55
107,39,Figure_107,Figure_39,0.909090909,2.482065084,2094.090909,78.1,4.36,178.83,0.0605,0.13,26139.32,18886.72,10591.63,5551.09,2690.87,410.04,137.65,35.38
107,43,Figure_107,Figure_43,0.814814815,2.258757346,1846.481481,92.23,4.52,207.67,0.0828,0.38,26607.24,21617.76,13136.38,6824.51,3338.01,493.36,175.04,38.88
107,44,Figure_107,Figure_44,0.885714286,2.424715714,1582.571429,106.7,4.67,193.37,0.0953,0.5,25835.08,19917.17,11732.38,6181.84,3062.94,471.88,155.01,37.94
107,48,Figure_107,Figure_48,0.818181818,2.266375406,2177.333333,86.45,4.46,168.71,0.0703,0.3,26318.55,19199.92,10887.82,5724.9,2754.04,509.75,206.2,41.4
