Obj1,Obj2,Figure1,Figure2,Acc,Acc_exp_transform,RT,Skel,Skel_log_transformed,GBJ,GIST,HMAX,conv1,conv2,conv3,conv4,conv5,fc6,fc7,fc8
234,108,Figure_234,Figure_108,0.736842105,2.08932721,2635.894737,83.61,4.43,234.49,0.1413,0.26,30592.71,24965.78,14860.37,7655.82,3733.72,569.61,185.81,49.11
234,116,Figure_234,Figure_116,0.96969697,2.637145204,2021.484848,89.35,4.49,194.76,0.0957,0.16,27079.22,20308.86,12454.65,6459.97,3322.31,544.88,182.38,43.75
234,117,Figure_234,Figure_117,0.935483871,2.548446279,2425.258065,94,4.54,227,0.1391,0.24,30689.98,24409.18,14758.82,7553.59,3739.82,558.19,181.21,42.08
234,23,Figure_234,Figure_23,0.848484848,2.336104616,2333.212121,111.95,4.72,250.68,0.1544,0.74,33963.14,26434.57,15606.47,7918.75,3836.97,620.07,204.04,47.47
234,266,Figure_234,Figure_266,0.852941176,2.346538295,2469.941176,98.13,4.59,257.43,0.1127,0.32,32236.25,27259.18,16047.47,8117.13,3969.25,591.41,179.67,40.53
234,31,Figure_234,Figure_31,0.6875,1.98873747,2751.09375,90.62,4.51,218.98,0.0953,0.19,29683.66,22796.07,13733.87,6955.97,3482.09,525.09,172.92,37.86
234,32,Figure_234,Figure_32,0.741935484,2.099996092,2316.709677,108.64,4.69,202.26,0.093,0.17,29033.77,21843.9,13171.52,6840.38,3426.85,525.9,186.85,40.77
234,36,Figure_234,Figure_36,0.828571429,2.290044911,2284.914286,118.72,4.78,233.46,0.1458,0.36,31896.7,25734.92,15104.52,7777.74,3821.42,579.49,185.27,44.98
234,39,Figure_234,Figure_39,0.947368421,2.578914106,2671.184211,83.11,4.42,257.13,0.1341,0.48,31227.39,25664.43,16048.42,8090.54,4029.37,602.61,190.24,43.38
234,43,Figure_234,Figure_43,0.911764706,2.488710503,2460.058824,92.22,4.52,220.46,0.1228,0.22,29199.93,23440.67,14442.82,7446.17,3649.66,503.83,159.23,39.98
234,44,Figure_234,Figure_44,0.861111111,2.365787887,2030.111111,126.45,4.84,217.74,0.1293,0.21,29559.43,24052.61,14030.4,7170.34,3537.53,547.62,176.85,41.55
234,48,Figure_234,Figure_48,0.787878788,2.198727509,2446.515152,101.91,4.62,210.94,0.0789,0.21,30133.01,22881.33,13139.26,6682.49,3211.89,512.9,183.87,44.48
234,56,Figure_234,Figure_56,0.8125,2.253534787,1910.03125,75.1,4.32,218.32,0.0942,0.21,29454.54,23661.19,13834.78,7167.77,3513.48,568.37,183.67,44.37
234,61,Figure_234,Figure_61,0.8125,2.253534787,2292.8125,100.16,4.61,231.97,0.1321,0.16,31686.8,25348.11,15085.49,7767.8,3719.32,522.51,171.7,38.75
234,71,Figure_234,Figure_71,0.852941176,2.346538295,1836.558824,81.03,4.39,213.82,0.0874,0.16,30620.87,23888.37,13912.4,7149.27,3458.83,495.54,168.83,41.67
