Obj1,OBj2,GBJ,GIST,HMAX,AlexNet
23,39,0.577777778,0.755555556,0.833333333,0.877777778
23,43,0.8,0.988888889,0.988888889,1
23,44,0.8,0.955555556,1,0.955555556
23,48,0.655555556,0.977777778,0.822222222,0.966666667
23,76,0.744444444,0.888888889,0.944444444,0.922222222
23,83,0.777777778,1,0.988888889,0.988888889
23,100,0.6,0.866666667,0.877777778,0.955555556
23,103,0.477777778,0.833333333,0.777777778,0.911111111
23,106,0.744444444,0.9,0.544444444,0.688888889
23,107,0.622222222,0.688888889,0.588888889,0.777777778
23,108,0.711111111,0.944444444,1,0.977777778
23,116,0.888888889,1,1,0.955555556
31,23,0.733333333,0.977777778,0.922222222,0.944444444
31,32,0.933333333,1,1,1
31,39,0.722222222,1,0.855555556,1
31,43,0.877777778,1,0.933333333,1
31,44,0.755555556,0.955555556,0.911111111,1
31,48,0.766666667,0.844444444,0.766666667,0.877777778
31,56,0.944444444,1,0.966666667,0.977777778
31,76,0.7,0.7,0.877777778,0.977777778
31,83,0.744444444,1,0.977777778,1
31,90,0.922222222,0.988888889,0.966666667,0.977777778
31,100,0.666666667,0.944444444,1,0.822222222
31,103,0.744444444,0.955555556,0.744444444,0.988888889
31,106,0.7,0.988888889,0.844444444,0.755555556
31,107,0.688888889,0.822222222,1,0.966666667
31,108,0.633333333,0.944444444,0.977777778,1
31,116,0.788888889,1,1,0.988888889
31,266,0.877777778,0.977777778,0.977777778,0.944444444
32,23,0.855555556,1,1,1
32,39,0.855555556,1,1,1
32,43,0.966666667,1,0.988888889,1
32,44,0.977777778,1,1,1
32,48,0.822222222,1,0.955555556,0.977777778
32,56,0.944444444,1,1,1
32,76,0.911111111,0.944444444,1,1
32,83,0.955555556,1,1,1
32,100,0.888888889,1,1,0.844444444
32,103,0.955555556,1,1,1
32,106,0.8,1,1,0.944444444
32,107,0.8,1,1,1
32,108,0.811111111,1,1,1
32,116,0.766666667,1,0.888888889,0.922222222
36,23,0.766666667,0.988888889,0.977777778,0.977777778
36,31,0.844444444,1,0.766666667,1
36,32,0.955555556,1,0.988888889,0.988888889
36,39,0.866666667,0.966666667,0.777777778,0.944444444
36,43,0.888888889,1,0.666666667,0.911111111
36,44,0.755555556,0.811111111,0.711111111,0.911111111
36,48,0.8,1,0.744444444,1
36,56,0.911111111,0.966666667,0.833333333,0.955555556
36,61,0.588888889,0.822222222,0.755555556,0.922222222
36,76,0.544444444,0.844444444,0.722222222,0.811111111
36,83,0.888888889,0.922222222,0.666666667,0.933333333
36,85,0.822222222,1,0.855555556,0.944444444
36,90,0.8,0.866666667,0.8,0.988888889
36,100,0.744444444,0.744444444,0.911111111,0.9
36,103,0.777777778,0.988888889,0.655555556,0.911111111
36,106,0.777777778,0.988888889,0.888888889,1
36,107,0.588888889,1,0.888888889,0.988888889
36,108,0.566666667,0.744444444,0.677777778,0.9
36,116,0.933333333,0.922222222,0.955555556,0.922222222
36,117,0.966666667,0.966666667,0.833333333,1
36,266,0.766666667,1,0.855555556,0.9
39,44,0.822222222,1,0.955555556,1
39,100,0.733333333,0.988888889,0.977777778,0.844444444
39,103,0.755555556,0.555555556,0.333333333,0.644444444
39,116,0.733333333,1,1,0.922222222
43,39,0.777777778,0.988888889,0.955555556,1
43,44,0.733333333,0.933333333,0.9,1
43,76,0.844444444,1,0.988888889,0.977777778
43,100,0.822222222,0.844444444,1,0.8
43,103,0.877777778,0.955555556,0.944444444,0.944444444
43,116,0.855555556,1,1,0.977777778
44,103,0.733333333,0.933333333,0.922222222,0.966666667
44,116,0.9,0.888888889,0.955555556,0.844444444
48,39,0.711111111,0.866666667,0.9,0.955555556
48,43,0.888888889,0.977777778,0.888888889,0.911111111
48,44,0.833333333,0.988888889,0.866666667,0.977777778
48,76,0.522222222,0.7,0.588888889,0.966666667
48,100,0.7,0.522222222,0.644444444,0.688888889
48,103,0.766666667,0.911111111,0.611111111,0.933333333
48,116,0.922222222,0.955555556,0.933333333,0.966666667
56,23,0.911111111,0.988888889,0.988888889,0.9
56,39,0.788888889,0.977777778,0.988888889,0.888888889
56,43,0.711111111,0.966666667,0.966666667,0.977777778
56,44,0.811111111,0.966666667,0.744444444,0.644444444
56,48,0.922222222,0.933333333,0.855555556,0.955555556
56,76,0.844444444,0.833333333,0.988888889,0.955555556
56,83,0.688888889,1,0.933333333,0.822222222
56,100,0.9,0.911111111,0.944444444,0.722222222
56,103,0.888888889,0.988888889,0.922222222,0.9
56,106,0.822222222,1,0.955555556,0.866666667
56,107,0.477777778,0.933333333,1,0.966666667
56,108,0.777777778,0.833333333,0.911111111,0.811111111
56,116,0.844444444,1,1,0.844444444
60,23,0.777777778,1,0.988888889,1
60,31,0.822222222,1,0.966666667,0.988888889
60,32,0.922222222,1,1,1
60,36,0.733333333,0.9,0.788888889,1
60,39,0.8,0.988888889,1,1
60,43,0.944444444,1,1,0.911111111
60,44,0.855555556,1,0.9,1
60,48,0.855555556,1,0.8,0.955555556
60,56,0.822222222,1,1,1
60,61,0.766666667,0.844444444,0.833333333,0.966666667
60,65,0.7,0.988888889,0.966666667,1
60,71,0.955555556,1,1,0.833333333
60,72,0.566666667,0.755555556,0.922222222,0.944444444
60,76,0.655555556,0.988888889,0.9,1
60,83,0.877777778,1,0.988888889,0.988888889
60,85,0.766666667,1,0.911111111,0.9
60,90,0.7,1,0.944444444,1
60,100,0.688888889,0.966666667,0.988888889,0.9
60,101,0.677777778,0.988888889,0.933333333,1
60,103,0.866666667,1,0.944444444,1
60,104,0.6,0.833333333,0.822222222,0.811111111
60,106,0.7,0.988888889,0.888888889,1
60,107,0.766666667,1,1,1
60,108,0.511111111,0.811111111,0.955555556,1
60,116,0.888888889,1,1,1
60,117,0.8,1,1,1
60,234,0.666666667,0.822222222,0.611111111,0.966666667
60,266,0.944444444,1,1,0.966666667
61,23,0.511111111,0.966666667,1,1
61,31,0.766666667,0.944444444,0.988888889,1
