Subject,Age,Sex,Overall_Acc,SF_Acc,Skel_Acc,Conflict_Acc,Overall_RT,SF_RT,Skel_RT,Conflict_RT,Sk_Ba_Acc,Sk_Bu_Acc,Sk_Sh_Acc,Sk_Wa_Acc,Ba_Bu_Acc,Ba_Sh_Acc,Ba_Wa_Acc,Bu_Sh_Acc,Bu_Wa_Acc,Sh_Wa_Acc,Sk_Ba_RT,Sk_Bu_RT,Sk_Sh_RT,Sk_Wa_RT,Ba_Bu_RT,Ba_Sh_RT,Ba_Wa_RT,Bu_Sh_RT,Bu_Wa_RT,Sh_Wa_RT
5329,20.3,M,0.832037325,0.78125,0.978947368,0.989583333,1208.627586,1460.376,1103.897436,1123.031646,1,1,1,0.9375,1,0.9375,0.9375,0.9375,1,1,1197.625,1206.8,1068.625,1070.5,1068.75,1125.625,1140.0625,1043,1194,1120.4
5330,18.68333333,M,0.668841762,0.738636364,0.870967742,0.850574713,916.7580645,1101.619565,820.7168142,790.0743243,0.5,0.6,0.8,0.928571429,0.642857143,0.666666667,0.6875,0.733333333,0.846153846,0.733333333,759.0625,831.9333333,722.1333333,656.4285714,810.3571429,1080.4,807.8125,646.2666667,845,742
5331,19.96666667,F,0.751181102,0.688888889,0.914893617,0.78,1488.806366,1751.641509,1336.118056,1507.425806,0.9375,0.75,0.733333333,0.875,0.75,0.866666667,0.866666667,0.733333333,0.866666667,0.8125,1280.125,1439.8125,1656.933333,1583.9375,1514.9375,1357.666667,1743.6,1447.466667,1354.133333,1697.0625
5332,19.35,F,0.607535322,0.946236559,0.652173913,0.15625,1477.533101,1361.554054,1665.345455,1302.297468,0.125,0.1875,0.0625,0.1875,0.3125,0.125,0.133333333,0.25,0,0.466666667,1241.5625,1014.875,1471.5625,1406.625,1514.5,1372.4375,1283.4,1287.1875,1103.3125,1327.933333
5333,19.68333333,F,0.757527734,0.845360825,0.887640449,0.685393258,1678.013228,2011.870968,1497.106383,1503.23871,0.8125,0.533333333,1,0.8125,0.75,0.666666667,0.733333333,0.533333333,0.6875,0.75,1386.5,1205,1341.133333,1329,1965.75,1472.266667,1297.4,1919.4,1802.125,1296.25
5334,19.36666667,F,0.792663477,0.915662651,0.939393939,0.712643678,1366.599496,1610,1192.162162,1314.309677,0.733333333,0.3125,0.875,0.8125,1,0.8,0.5625,0.6875,0.733333333,0.8,1365.066667,1175.0625,1118.625,1317.375,1327.733333,1130.266667,1343.25,1544.3125,1510.4,1315.866667
5336,23.1,F,0.673501577,0.608247423,0.817204301,0.688172043,849.6146789,894.4019608,834.6612903,817.1082803,0.5625,0.5625,0.642857143,0.866666667,0.875,0.5,0.625,0.8125,0.3125,0.6875,829.875,785.8125,806.0714286,778.0666667,811.3125,882.5625,863.9375,899.25,755.3125,755.0625
5337,21.4,F,0.691693291,0.623529412,0.835051546,0.761363636,1690.54955,1932.917647,1755.561538,1474.133758,0.9375,0.714285714,0.933333333,0.875,0.8125,0.4375,0.6875,0.6875,0.625,0.8125,1390.6875,1295.642857,1042.866667,1993.25,1323.125,1789.4375,1534.0625,1332.75,1732.375,1257.875
5338,20.05,F,0.708860759,0.50617284,0.887755102,0.744897959,782.2816092,919.4534884,728.4928571,762.5974843,0.8125,0.625,0.75,0.875,0.933333333,0.875,0.6875,0.5625,0.75,0.8125,741.5,783,707,772.5,750.1333333,766.9375,737.5625,809.3125,819.8125,737.4375
5339,19.36666667,M,0.841772152,0.811111111,0.989130435,0.927835052,1391.273148,1703.834646,1195.467532,1349.474684,1,0.875,1,1,0.9375,0.933333333,0.9375,0.9375,0.9375,1,1456.4375,1327.9375,1311.8125,1441.466667,1505,1331.866667,1140.25,1544.6875,1254.5,1185.4375
5340,20.43333333,F,0.662957075,0.670212766,0.78021978,0.684210526,1333.394322,1480.416667,1278.455285,1151.083871,0.625,0.666666667,0.625,0.571428571,0.6875,0.733333333,0.625,0.5625,0.533333333,0.6875,1219.625,1083,1264.625,1061.5,1067.875,1077.666667,1269.8125,1128.25,946,1359.625
