subj,SF1,SF2,Acc,RT,GBJ,GIST,HMAX,AlexNet-fc6
2000,Shrink,Wave,0.344827586,870.137931,123.1688304,0.031504527,0.996757956,307.41324
2000,Skel,Wave,0.433333333,737.2,130.3044035,0.031612903,0.996599054,294.57343
2000,Skel,Shrink,0.310344828,800.9655172,132.0110711,0.034314111,0.996439514,322.77618
2000,Balloon,Shrink,0.379310345,775.0344828,136.9334726,0.04559527,0.996008686,397.15485
2000,Skel,Balloon,0.607142857,759.5,143.7180112,0.045827638,0.995019926,450.50989
2000,Balloon,Wave,0.633333333,788.5,140.8013227,0.041538939,0.996043232,429.11118
2000,Bulge,Wave,0.633333333,761.4,150.2919008,0.049303781,0.995188334,504.52725
2000,Balloon,Bulge,0.384615385,855.6153846,147.1281223,0.046626538,0.995574224,408.50665
2000,Bulge,Shrink,0.633333333,835.0333333,156.2337797,0.059229795,0.994578936,507.87921
2000,Skel,Bulge,0.666666667,732.7333333,152.0023367,0.055864234,0.993388096,519.0957
2001,Shrink,Wave,0.857142857,1080.142857,123.1688304,0.031504527,0.996757956,307.41324
2001,Skel,Wave,0.7,974.4333333,130.3044035,0.031612903,0.996599054,294.57343
2001,Skel,Shrink,0.785714286,948.7857143,132.0110711,0.034314111,0.996439514,322.77618
2001,Balloon,Shrink,0.72,987.84,136.9334726,0.04559527,0.996008686,397.15485
2001,Skel,Balloon,0.896551724,690.8965517,143.7180112,0.045827638,0.995019926,450.50989
2001,Balloon,Wave,0.821428571,732.8928571,140.8013227,0.041538939,0.996043232,429.11118
2001,Bulge,Wave,0.827586207,1003.413793,150.2919008,0.049303781,0.995188334,504.52725
2001,Balloon,Bulge,0.655172414,1113.103448,147.1281223,0.046626538,0.995574224,408.50665
2001,Bulge,Shrink,0.896551724,802.0689655,156.2337797,0.059229795,0.994578936,507.87921
2001,Skel,Bulge,0.8,877.7666667,152.0023367,0.055864234,0.993388096,519.0957
2002,Shrink,Wave,1,1332.724138,123.1688304,0.031504527,0.996757956,307.41324
2002,Skel,Wave,0.965517241,1203.827586,130.3044035,0.031612903,0.996599054,294.57343
2002,Skel,Shrink,0.965517241,1165.413793,132.0110711,0.034314111,0.996439514,322.77618
2002,Balloon,Shrink,0.966666667,1270.7,136.9334726,0.04559527,0.996008686,397.15485
2002,Skel,Balloon,1,1119.866667,143.7180112,0.045827638,0.995019926,450.50989
2002,Balloon,Wave,0.966666667,994.2333333,140.8013227,0.041538939,0.996043232,429.11118
2002,Bulge,Wave,0.966666667,1134.4,150.2919008,0.049303781,0.995188334,504.52725
2002,Balloon,Bulge,0.965517241,1225.172414,147.1281223,0.046626538,0.995574224,408.50665
2002,Bulge,Shrink,1,1230.866667,156.2337797,0.059229795,0.994578936,507.87921
2002,Skel,Bulge,0.964285714,949,152.0023367,0.055864234,0.993388096,519.0957
2003,Shrink,Wave,0.931034483,1587.137931,123.1688304,0.031504527,0.996757956,307.41324
2003,Skel,Wave,0.862068966,1437.275862,130.3044035,0.031612903,0.996599054,294.57343
2003,Skel,Shrink,0.517241379,1540.689655,132.0110711,0.034314111,0.996439514,322.77618
2003,Balloon,Shrink,0.655172414,1558.931034,136.9334726,0.04559527,0.996008686,397.15485
2003,Skel,Balloon,0.206896552,1653.689655,143.7180112,0.045827638,0.995019926,450.50989
2003,Balloon,Wave,0.933333333,1175.433333,140.8013227,0.041538939,0.996043232,429.11118
2003,Bulge,Wave,0.933333333,1232.633333,150.2919008,0.049303781,0.995188334,504.52725
2003,Balloon,Bulge,0.740740741,1502.444444,147.1281223,0.046626538,0.995574224,408.50665
2003,Bulge,Shrink,0.965517241,1499.275862,156.2337797,0.059229795,0.994578936,507.87921
2003,Skel,Bulge,0.931034483,1558.482759,152.0023367,0.055864234,0.993388096,519.0957
2004,Shrink,Wave,0.966666667,1539.633333,123.1688304,0.031504527,0.996757956,307.41324
2004,Skel,Wave,0.966666667,1057.633333,130.3044035,0.031612903,0.996599054,294.57343
2004,Skel,Shrink,0.933333333,1103.233333,132.0110711,0.034314111,0.996439514,322.77618
2004,Balloon,Shrink,1,1157.766667,136.9334726,0.04559527,0.996008686,397.15485
2004,Skel,Balloon,0.965517241,843.8965517,143.7180112,0.045827638,0.995019926,450.50989
2004,Balloon,Wave,0.966666667,1039.566667,140.8013227,0.041538939,0.996043232,429.11118
2004,Bulge,Wave,1,1206.1,150.2919008,0.049303781,0.995188334,504.52725
2004,Balloon,Bulge,1,1358.733333,147.1281223,0.046626538,0.995574224,408.50665
2004,Bulge,Shrink,0.933333333,930.8666667,156.2337797,0.059229795,0.994578936,507.87921
