subj,obj,Skeleton,Acc,RT,GBJ,GIST,HMAX,fc6
7003,31,0,1,1884,0,0,0,0
7003,31,10,1,2447.5,63.99197139,0.079880522,11.32691383,138.50137
7003,31,20,1,1898.411765,108.6271328,0.238485953,19.58734894,192.91887
7003,31,30,1,4227.166667,145.4801846,0.412019651,26.74500084,243.56546
7003,31,40,0.944444444,2114.882353,163.4014972,0.578488109,29.18827057,273.14685
7003,31,50,0.888888889,2313.9375,175.5941771,0.747053951,29.86698723,303.57336
7003,32,0,1,1919.166667,0,0,0,0
7003,32,10,1,1921.882353,78.32280687,0.098282101,8.373310089,116.62663
7003,32,20,0.944444444,1412.823529,129.0529337,0.318555391,12.99932289,173.94518
7003,32,30,1,1112.277778,152.4099353,0.540363946,15.78835201,224.47699
7003,32,40,1,1055.5,167.402071,0.748743207,18.20854378,259.89331
7003,32,50,1,1140.944444,181.5022535,1,21.97107124,299.90948
7004,23,0,0.888888889,1493.3125,0,0,0,0
7004,23,10,0.722222222,1599.846154,88.54530181,0.066586619,11.71647549,138.62802
7004,23,20,0.722222222,1247,182.2247985,0.126638647,19.27995491,244.02626
7004,23,30,0.823529412,1678.071429,206.7809175,0.168836283,24.30709267,310.58539
7004,23,40,0.777777778,1793,235.4832606,0.290684197,28.38534355,375.09525
7004,23,50,0.611111111,2147.181818,230.9992442,0.539062793,29.92738152,393.81564
7004,31,0,0.8,2132.5,0,0,0,0
7004,31,10,0.705882353,1619.333333,63.99197139,0.079880522,11.32691383,138.50137
7004,31,20,0.470588235,2222.375,108.6271328,0.238485953,19.58734894,192.91887
7004,31,30,0.352941176,1932.166667,145.4801846,0.412019651,26.74500084,243.56546
7004,31,40,0.333333333,1944,163.4014972,0.578488109,29.18827057,273.14685
7004,31,50,0.388888889,2340.571429,175.5941771,0.747053951,29.86698723,303.57336
7004,32,0,0.823529412,1451.571429,0,0,0,0
7004,32,10,0.944444444,1366.470588,78.32280687,0.098282101,8.373310089,116.62663
7004,32,20,0.888888889,2059.3125,129.0529337,0.318555391,12.99932289,173.94518
7004,32,30,0.777777778,1974.5,152.4099353,0.540363946,15.78835201,224.47699
7004,32,40,0.8125,1806.461538,167.402071,0.748743207,18.20854378,259.89331
7004,32,50,0.722222222,1795.230769,181.5022535,1,21.97107124,299.90948
7005,23,0,0.941176471,1720.5625,0,0,0,0
7005,23,10,0.777777778,1625.214286,88.54530181,0.066586619,11.71647549,138.62802
7005,23,20,0.555555556,1818.5,182.2247985,0.126638647,19.27995491,244.02626
7005,23,30,0.166666667,1135.666667,206.7809175,0.168836283,24.30709267,310.58539
7005,23,40,0,NA,235.4832606,0.290684197,28.38534355,375.09525
7005,23,50,0,NA,230.9992442,0.539062793,29.92738152,393.81564
7005,31,0,0.529411765,2571.222222,0,0,0,0
7005,31,10,0.6875,2859.454545,63.99197139,0.079880522,11.32691383,138.50137
7005,31,20,0.705882353,2832.333333,108.6271328,0.238485953,19.58734894,192.91887
7005,31,30,0.5,2677.571429,145.4801846,0.412019651,26.74500084,243.56546
7005,31,40,0.4375,3701.428571,163.4014972,0.578488109,29.18827057,273.14685
7005,31,50,0.2,3381,175.5941771,0.747053951,29.86698723,303.57336
7005,32,0,1,1246.529412,0,0,0,0
7005,32,10,0.944444444,1239,78.32280687,0.098282101,8.373310089,116.62663
7005,32,20,0.944444444,1791.588235,129.0529337,0.318555391,12.99932289,173.94518
7005,32,30,0.833333333,1926.2,152.4099353,0.540363946,15.78835201,224.47699
7005,32,40,0.705882353,2077.5,167.402071,0.748743207,18.20854378,259.89331
7005,32,50,0.611111111,2574.090909,181.5022535,1,21.97107124,299.90948
7006,23,0,0.642857143,1895.888889,0,0,0,0
7006,23,10,0.833333333,2727,88.54530181,0.066586619,11.71647549,138.62802
7006,23,20,0.555555556,1382.8,182.2247985,0.126638647,19.27995491,244.02626
7006,23,30,0.636363636,6016,206.7809175,0.168836283,24.30709267,310.58539
7006,23,40,0.153846154,6181.5,235.4832606,0.290684197,28.38534355,375.09525
7006,23,50,0.083333333,1241,230.9992442,0.539062793,29.92738152,393.81564
7006,31,0,0.727272727,2883.75,0,0,0,0
7006,31,10,0.866666667,3240.307692,63.99197139,0.079880522,11.32691383,138.50137
7006,31,20,0.846153846,2437.545455,108.6271328,0.238485953,19.58734894,192.91887
7006,31,30,0.583333333,2630.714286,145.4801846,0.412019651,26.74500084,243.56546
7006,31,40,0.222222222,3285,163.4014972,0.578488109,29.18827057,273.14685
7006,31,50,0.454545455,1898,175.5941771,0.747053951,29.86698723,303.57336
7006,32,0,0.916666667,1641.818182,0,0,0,0
7006,32,10,0.928571429,1313.076923,78.32280687,0.098282101,8.373310089,116.62663
7006,32,20,0.909090909,3307,129.0529337,0.318555391,12.99932289,173.94518
7006,32,30,1,4439.307692,152.4099353,0.540363946,15.78835201,224.47699
7006,32,40,0.461538462,6279.666667,167.402071,0.748743207,18.20854378,259.89331
7006,32,50,0.888888889,3353.5,181.5022535,1,21.97107124,299.90948
7007,23,0,0.888888889,981.5625,0,0,0,0
7007,23,10,0.888888889,1038.5625,88.54530181,0.066586619,11.71647549,138.62802
7007,23,20,0.888888889,966.75,182.2247985,0.126638647,19.27995491,244.02626
7007,23,30,0.944444444,909.7647059,206.7809175,0.168836283,24.30709267,310.58539
7007,23,40,0.722222222,1183.384615,235.4832606,0.290684197,28.38534355,375.09525
7007,23,50,0.722222222,983.8461538,230.9992442,0.539062793,29.92738152,393.81564
7007,31,0,1,898.2777778,0,0,0,0
7007,31,10,0.944444444,896.1176471,63.99197139,0.079880522,11.32691383,138.50137
7007,31,20,0.944444444,828.2941176,108.6271328,0.238485953,19.58734894,192.91887
7007,31,30,0.941176471,1053,145.4801846,0.412019651,26.74500084,243.56546
7007,31,40,0.8125,1073.538462,163.4014972,0.578488109,29.18827057,273.14685
7007,31,50,1,1014.777778,175.5941771,0.747053951,29.86698723,303.57336
7007,32,0,1,779.9444444,0,0,0,0
7007,32,10,1,714.6666667,78.32280687,0.098282101,8.373310089,116.62663
7007,32,20,0.944444444,761.8823529,129.0529337,0.318555391,12.99932289,173.94518
7007,32,30,1,774.8333333,152.4099353,0.540363946,15.78835201,224.47699
7007,32,40,1,796,167.402071,0.748743207,18.20854378,259.89331
7007,32,50,1,735.2,181.5022535,1,21.97107124,299.90948
7009,23,0,0.833333333,1630.333333,0,0,0,0
7009,23,10,0.9375,2814.733333,88.54530181,0.066586619,11.71647549,138.62802
7009,23,20,0.888888889,1605.125,182.2247985,0.126638647,19.27995491,244.02626
7009,23,30,0.823529412,1740.642857,206.7809175,0.168836283,24.30709267,310.58539
7009,23,40,1,2490.352941,235.4832606,0.290684197,28.38534355,375.09525
7009,23,50,0.9375,2348.133333,230.9992442,0.539062793,29.92738152,393.81564
7009,31,0,0.529411765,1823.777778,0,0,0,0
7009,31,10,0.470588235,1830.75,63.99197139,0.079880522,11.32691383,138.50137
7009,31,20,0.529411765,1890.222222,108.6271328,0.238485953,19.58734894,192.91887
7009,31,30,0.588235294,2249.3,145.4801846,0.412019651,26.74500084,243.56546
7009,31,40,0.533333333,2618.625,163.4014972,0.578488109,29.18827057,273.14685
7009,31,50,0.555555556,2635.4,175.5941771,0.747053951,29.86698723,303.57336
7009,32,0,0.888888889,1056.875,0,0,0,0
7009,32,10,1,1663.333333,78.32280687,0.098282101,8.373310089,116.62663
7009,32,20,0.944444444,1328.705882,129.0529337,0.318555391,12.99932289,173.94518
7009,32,30,1,1226.611111,152.4099353,0.540363946,15.78835201,224.47699
7009,32,40,1,1839.235294,167.402071,0.748743207,18.20854378,259.89331
7009,32,50,1,1905.823529,181.5022535,1,21.97107124,299.90948
7010,23,0,0.823529412,1482.071429,0,0,0,0
7010,23,10,0.944444444,1600.117647,88.54530181,0.066586619,11.71647549,138.62802
7010,23,20,0.705882353,1515.5,182.2247985,0.126638647,19.27995491,244.02626
7010,23,30,0.166666667,1492,206.7809175,0.168836283,24.30709267,310.58539
7010,23,40,0.117647059,2518.5,235.4832606,0.290684197,28.38534355,375.09525
7010,23,50,0.055555556,1258,230.9992442,0.539062793,29.92738152,393.81564
7010,31,0,0.888888889,1488.375,0,0,0,0
7010,31,10,0.722222222,2195.461538,63.99197139,0.079880522,11.32691383,138.50137
7010,31,20,0.5,2977.333333,108.6271328,0.238485953,19.58734894,192.91887
7010,31,30,0.555555556,2835.1,145.4801846,0.412019651,26.74500084,243.56546
7010,31,40,0.666666667,1890.833333,163.4014972,0.578488109,29.18827057,273.14685
7010,31,50,0.6875,2959.727273,175.5941771,0.747053951,29.86698723,303.57336
7010,32,0,1,1276.5,0,0,0,0
7010,32,10,0.722222222,1807.153846,78.32280687,0.098282101,8.373310089,116.62663
7010,32,20,0.444444444,1509.625,129.0529337,0.318555391,12.99932289,173.94518
7010,32,30,0.388888889,1186.285714,152.4099353,0.540363946,15.78835201,224.47699
7010,32,40,0.055555556,729,167.402071,0.748743207,18.20854378,259.89331
7010,32,50,0.277777778,1069.6,181.5022535,1,21.97107124,299.90948
7011,23,0,0.823529412,1521.142857,0,0,0,0
7011,23,10,0.666666667,1929.416667,88.54530181,0.066586619,11.71647549,138.62802
7011,23,20,0.611111111,1665.727273,182.2247985,0.126638647,19.27995491,244.02626
7011,23,30,0.176470588,1950.666667,206.7809175,0.168836283,24.30709267,310.58539
7011,23,40,0,NA,235.4832606,0.290684197,28.38534355,375.09525
7011,23,50,0.055555556,1855,230.9992442,0.539062793,29.92738152,393.81564
7011,31,0,0.705882353,2535.916667,0,0,0,0
7011,31,10,0.705882353,2183,63.99197139,0.079880522,11.32691383,138.50137
7011,31,20,0.352941176,1832.833333,108.6271328,0.238485953,19.58734894,192.91887
7011,31,30,0.5,3035.125,145.4801846,0.412019651,26.74500084,243.56546
7011,31,40,0.5,2447.25,163.4014972,0.578488109,29.18827057,273.14685
7011,31,50,0.294117647,2647.4,175.5941771,0.747053951,29.86698723,303.57336
7011,32,0,0.944444444,1174.647059,0,0,0,0
7011,32,10,1,1902.222222,78.32280687,0.098282101,8.373310089,116.62663
7011,32,20,0.611111111,1985.909091,129.0529337,0.318555391,12.99932289,173.94518
7011,32,30,0.882352941,1292.866667,152.4099353,0.540363946,15.78835201,224.47699
7011,32,40,0.388888889,1799.857143,167.402071,0.748743207,18.20854378,259.89331
7011,32,50,0.533333333,1925.875,181.5022535,1,21.97107124,299.90948
7012,23,0,1,1859.555556,0,0,0,0
7012,23,10,1,2170.941176,88.54530181,0.066586619,11.71647549,138.62802
7012,23,20,0.444444444,2698.75,182.2247985,0.126638647,19.27995491,244.02626
7012,23,30,0.166666667,1900,206.7809175,0.168836283,24.30709267,310.58539
7012,23,40,0,NA,235.4832606,0.290684197,28.38534355,375.09525
7012,23,50,0,NA,230.9992442,0.539062793,29.92738152,393.81564
7012,31,0,0.888888889,1990.5,0,0,0,0
7012,31,10,0.823529412,2914.285714,63.99197139,0.079880522,11.32691383,138.50137
7012,31,20,0.9375,3553.733333,108.6271328,0.238485953,19.58734894,192.91887
7012,31,30,0.764705882,2236,145.4801846,0.412019651,26.74500084,243.56546
7012,31,40,0.470588235,1878.5,163.4014972,0.578488109,29.18827057,273.14685
7012,31,50,0.266666667,3403.5,175.5941771,0.747053951,29.86698723,303.57336
7012,32,0,0.941176471,2129.6875,0,0,0,0
7012,32,10,1,2024.555556,78.32280687,0.098282101,8.373310089,116.62663
7012,32,20,0.944444444,2088.411765,129.0529337,0.318555391,12.99932289,173.94518
7012,32,30,0.588235294,2690,152.4099353,0.540363946,15.78835201,224.47699
7012,32,40,0.777777778,2639.357143,167.402071,0.748743207,18.20854378,259.89331
7012,32,50,0.375,2435.833333,181.5022535,1,21.97107124,299.90948
7013,23,0,1,998.3888889,0,0,0,0
7013,23,10,1,962,88.54530181,0.066586619,11.71647549,138.62802
7013,23,20,1,803.1666667,182.2247985,0.126638647,19.27995491,244.02626
7013,23,30,1,1054.111111,206.7809175,0.168836283,24.30709267,310.58539
7013,23,40,0.777777778,1012.642857,235.4832606,0.290684197,28.38534355,375.09525
7013,23,50,0.411764706,1487.714286,230.9992442,0.539062793,29.92738152,393.81564
7013,31,0,0.944444444,1060.529412,0,0,0,0
7013,31,10,1,1029.941176,63.99197139,0.079880522,11.32691383,138.50137
7013,31,20,0.944444444,1120,108.6271328,0.238485953,19.58734894,192.91887
7013,31,30,0.611111111,986.0909091,145.4801846,0.412019651,26.74500084,243.56546
7013,31,40,0.666666667,1212.583333,163.4014972,0.578488109,29.18827057,273.14685
7013,31,50,0.555555556,1209.7,175.5941771,0.747053951,29.86698723,303.57336
7013,32,0,1,763.3888889,0,0,0,0
7013,32,10,1,968.9444444,78.32280687,0.098282101,8.373310089,116.62663
7013,32,20,1,1081.277778,129.0529337,0.318555391,12.99932289,173.94518
7013,32,30,1,1344.333333,152.4099353,0.540363946,15.78835201,224.47699
7013,32,40,0.9375,1255.466667,167.402071,0.748743207,18.20854378,259.89331
7013,32,50,0.941176471,1103.75,181.5022535,1,21.97107124,299.90948
7015,23,0,1,711.4705882,0,0,0,0
7015,23,10,1,634.8333333,88.54530181,0.066586619,11.71647549,138.62802
7015,23,20,1,716.2222222,182.2247985,0.126638647,19.27995491,244.02626
7015,23,30,0.888888889,797.5,206.7809175,0.168836283,24.30709267,310.58539
7015,23,40,0.888888889,786.3125,235.4832606,0.290684197,28.38534355,375.09525
7015,23,50,0.666666667,1056,230.9992442,0.539062793,29.92738152,393.81564
7015,31,0,0.705882353,841.25,0,0,0,0
7015,31,10,0.611111111,750.1818182,63.99197139,0.079880522,11.32691383,138.50137
7015,31,20,0.6,685.3333333,108.6271328,0.238485953,19.58734894,192.91887
7015,31,30,0.555555556,851.6,145.4801846,0.412019651,26.74500084,243.56546
7015,31,40,0.6875,808.5454545,163.4014972,0.578488109,29.18827057,273.14685
7015,31,50,0.722222222,841.0769231,175.5941771,0.747053951,29.86698723,303.57336
7015,32,0,1,664.2222222,0,0,0,0
7015,32,10,1,619.3888889,78.32280687,0.098282101,8.373310089,116.62663
7015,32,20,1,641.1111111,129.0529337,0.318555391,12.99932289,173.94518
7015,32,30,1,726.6666667,152.4099353,0.540363946,15.78835201,224.47699
7015,32,40,1,643.5,167.402071,0.748743207,18.20854378,259.89331
7015,32,50,1,624.7222222,181.5022535,1,21.97107124,299.90948
7016,23,0,1,929.8235294,0,0,0,0
7016,23,10,1,750.9444444,88.54530181,0.066586619,11.71647549,138.62802
7016,23,20,1,1009,182.2247985,0.126638647,19.27995491,244.02626
7016,23,30,1,935.7222222,206.7809175,0.168836283,24.30709267,310.58539
7016,23,40,1,983.0588235,235.4832606,0.290684197,28.38534355,375.09525
7016,23,50,1,1036.555556,230.9992442,0.539062793,29.92738152,393.81564
7016,31,0,1,729.5625,0,0,0,0
7016,31,10,1,930,63.99197139,0.079880522,11.32691383,138.50137
7016,31,20,1,988.1176471,108.6271328,0.238485953,19.58734894,192.91887
7016,31,30,1,1231.944444,145.4801846,0.412019651,26.74500084,243.56546
7016,31,40,0.944444444,964.5294118,163.4014972,0.578488109,29.18827057,273.14685
7016,31,50,1,988.0555556,175.5941771,0.747053951,29.86698723,303.57336
7016,32,0,0.823529412,1028.642857,0,0,0,0
7016,32,10,0.944444444,1193.058824,78.32280687,0.098282101,8.373310089,116.62663
7016,32,20,0.941176471,1103.875,129.0529337,0.318555391,12.99932289,173.94518
7016,32,30,0.941176471,1170.4375,152.4099353,0.540363946,15.78835201,224.47699
7016,32,40,1,1223.222222,167.402071,0.748743207,18.20854378,259.89331
7016,32,50,0.9375,1397.066667,181.5022535,1,21.97107124,299.90948
7018,23,0,1,825.9411765,0,0,0,0
7018,23,10,0.888888889,743.1875,88.54530181,0.066586619,11.71647549,138.62802
7018,23,20,0.944444444,825.1176471,182.2247985,0.126638647,19.27995491,244.02626
7018,23,30,0.941176471,764.8125,206.7809175,0.168836283,24.30709267,310.58539
7018,23,40,0.888888889,826.8125,235.4832606,0.290684197,28.38534355,375.09525
7018,23,50,0.588235294,838.2,230.9992442,0.539062793,29.92738152,393.81564
7018,31,0,0.857142857,1155.5,0,0,0,0
7018,31,10,0.588235294,951.8,63.99197139,0.079880522,11.32691383,138.50137
7018,31,20,0.235294118,755.25,108.6271328,0.238485953,19.58734894,192.91887
7018,31,30,0.444444444,1013.875,145.4801846,0.412019651,26.74500084,243.56546
7018,31,40,0.722222222,949.2307692,163.4014972,0.578488109,29.18827057,273.14685
7018,31,50,0.352941176,1161.666667,175.5941771,0.747053951,29.86698723,303.57336
7018,32,0,1,835.6470588,0,0,0,0
7018,32,10,0.944444444,915.4705882,78.32280687,0.098282101,8.373310089,116.62663
7018,32,20,0.823529412,923.5,129.0529337,0.318555391,12.99932289,173.94518
7018,32,30,0.722222222,985.9230769,152.4099353,0.540363946,15.78835201,224.47699
7018,32,40,0.8125,1097.076923,167.402071,0.748743207,18.20854378,259.89331
7018,32,50,0.882352941,978.3333333,181.5022535,1,21.97107124,299.90948
7019,23,0,1,2229.277778,0,0,0,0
7019,23,10,1,1633.5,88.54530181,0.066586619,11.71647549,138.62802
7019,23,20,0.888888889,1808.875,182.2247985,0.126638647,19.27995491,244.02626
7019,23,30,1,1575.555556,206.7809175,0.168836283,24.30709267,310.58539
7019,23,40,1,1765.611111,235.4832606,0.290684197,28.38534355,375.09525
7019,23,50,0.944444444,1764.235294,230.9992442,0.539062793,29.92738152,393.81564
7019,31,0,0.833333333,2905.4,0,0,0,0
7019,31,10,0.833333333,3617.666667,63.99197139,0.079880522,11.32691383,138.50137
7019,31,20,0.833333333,3288.6,108.6271328,0.238485953,19.58734894,192.91887
7019,31,30,0.888888889,2614.875,145.4801846,0.412019651,26.74500084,243.56546
7019,31,40,0.882352941,2459.533333,163.4014972,0.578488109,29.18827057,273.14685
7019,31,50,0.875,2695.357143,175.5941771,0.747053951,29.86698723,303.57336
7019,32,0,0.944444444,2045.764706,0,0,0,0
7019,32,10,0.705882353,2072.083333,78.32280687,0.098282101,8.373310089,116.62663
7019,32,20,0.722222222,2044.769231,129.0529337,0.318555391,12.99932289,173.94518
7019,32,30,0.764705882,1877.384615,152.4099353,0.540363946,15.78835201,224.47699
7019,32,40,0.722222222,2536.307692,167.402071,0.748743207,18.20854378,259.89331
7019,32,50,0.764705882,2227.384615,181.5022535,1,21.97107124,299.90948
7020,23,0,0.888888889,1522.0625,0,0,0,0
7020,23,10,0.888888889,1295.625,88.54530181,0.066586619,11.71647549,138.62802
7020,23,20,0.941176471,1627.625,182.2247985,0.126638647,19.27995491,244.02626
7020,23,30,1,1395.235294,206.7809175,0.168836283,24.30709267,310.58539
7020,23,40,0.944444444,1542.470588,235.4832606,0.290684197,28.38534355,375.09525
7020,23,50,0.823529412,1612.214286,230.9992442,0.539062793,29.92738152,393.81564
7020,31,0,0.888888889,1434.125,0,0,0,0
7020,31,10,0.555555556,1853.7,63.99197139,0.079880522,11.32691383,138.50137
7020,31,20,0.944444444,1479.352941,108.6271328,0.238485953,19.58734894,192.91887
7020,31,30,0.75,1486.833333,145.4801846,0.412019651,26.74500084,243.56546
7020,31,40,0.777777778,1577.5,163.4014972,0.578488109,29.18827057,273.14685
7020,31,50,0.647058824,1635.636364,175.5941771,0.747053951,29.86698723,303.57336
7020,32,0,1,1385.388889,0,0,0,0
7020,32,10,0.888888889,885,78.32280687,0.098282101,8.373310089,116.62663
7020,32,20,1,1154.888889,129.0529337,0.318555391,12.99932289,173.94518
7020,32,30,1,1025.555556,152.4099353,0.540363946,15.78835201,224.47699
7020,32,40,0.944444444,1272.647059,167.402071,0.748743207,18.20854378,259.89331
7020,32,50,0.944444444,1164.235294,181.5022535,1,21.97107124,299.90948
7021,23,0,0.888888889,950.9375,0,0,0,0
7021,23,10,1,891.0588235,88.54530181,0.066586619,11.71647549,138.62802
7021,23,20,0.944444444,975.1176471,182.2247985,0.126638647,19.27995491,244.02626
7021,23,30,0.833333333,959.2666667,206.7809175,0.168836283,24.30709267,310.58539
7021,23,40,1,1255.529412,235.4832606,0.290684197,28.38534355,375.09525
7021,23,50,1,1056.166667,230.9992442,0.539062793,29.92738152,393.81564
7021,31,0,1,974.8888889,0,0,0,0
7021,31,10,0.944444444,1132.176471,63.99197139,0.079880522,11.32691383,138.50137
7021,31,20,0.9375,1149.866667,108.6271328,0.238485953,19.58734894,192.91887
7021,31,30,1,1436.611111,145.4801846,0.412019651,26.74500084,243.56546
7021,31,40,0.944444444,1245.235294,163.4014972,0.578488109,29.18827057,273.14685
7021,31,50,0.941176471,1224.8125,175.5941771,0.747053951,29.86698723,303.57336
7021,32,0,1,1209.611111,0,0,0,0
7021,32,10,0.875,978.9285714,78.32280687,0.098282101,8.373310089,116.62663
7021,32,20,0.833333333,1003.466667,129.0529337,0.318555391,12.99932289,173.94518
7021,32,30,0.944444444,1098.764706,152.4099353,0.540363946,15.78835201,224.47699
7021,32,40,1,1286.055556,167.402071,0.748743207,18.20854378,259.89331
7021,32,50,1,1006.444444,181.5022535,1,21.97107124,299.90948
7022,23,0,0.944444444,952.2352941,0,0,0,0
7022,23,10,0.722222222,746.7692308,88.54530181,0.066586619,11.71647549,138.62802
7022,23,20,0.833333333,774.9333333,182.2247985,0.126638647,19.27995491,244.02626
7022,23,30,0.777777778,700.8571429,206.7809175,0.168836283,24.30709267,310.58539
7022,23,40,0.388888889,751.2857143,235.4832606,0.290684197,28.38534355,375.09525
7022,23,50,0.588235294,829.3,230.9992442,0.539062793,29.92738152,393.81564
7022,31,0,1,734.5,0,0,0,0
7022,31,10,0.888888889,772.875,63.99197139,0.079880522,11.32691383,138.50137
7022,31,20,0.722222222,829.6923077,108.6271328,0.238485953,19.58734894,192.91887
7022,31,30,0.470588235,823.125,145.4801846,0.412019651,26.74500084,243.56546
7022,31,40,0.333333333,789,163.4014972,0.578488109,29.18827057,273.14685
7022,31,50,0.529411765,785.7777778,175.5941771,0.747053951,29.86698723,303.57336
7022,32,0,0.944444444,868.5882353,0,0,0,0
7022,32,10,0.833333333,857.4,78.32280687,0.098282101,8.373310089,116.62663
7022,32,20,0.611111111,779,129.0529337,0.318555391,12.99932289,173.94518
7022,32,30,0.777777778,730.7857143,152.4099353,0.540363946,15.78835201,224.47699
7022,32,40,0.5,788.8888889,167.402071,0.748743207,18.20854378,259.89331
7022,32,50,0.823529412,703.8571429,181.5022535,1,21.97107124,299.90948
7023,23,0,1,1502.611111,0,0,0,0
7023,23,10,0.944444444,2003.823529,88.54530181,0.066586619,11.71647549,138.62802
7023,23,20,0.875,1537.071429,182.2247985,0.126638647,19.27995491,244.02626
7023,23,30,0.75,1619,206.7809175,0.168836283,24.30709267,310.58539
7023,23,40,0.2,2631.333333,235.4832606,0.290684197,28.38534355,375.09525
7023,23,50,0.117647059,4754.5,230.9992442,0.539062793,29.92738152,393.81564
7023,31,0,1,1163.944444,0,0,0,0
7023,31,10,0.944444444,1299.823529,63.99197139,0.079880522,11.32691383,138.50137
7023,31,20,1,1628.777778,108.6271328,0.238485953,19.58734894,192.91887
7023,31,30,0.833333333,2063,145.4801846,0.412019651,26.74500084,243.56546
7023,31,40,0.764705882,1571,163.4014972,0.578488109,29.18827057,273.14685
7023,31,50,0.833333333,2488,175.5941771,0.747053951,29.86698723,303.57336
7023,32,0,1,1002.722222,0,0,0,0
7023,32,10,0.888888889,1037.5625,78.32280687,0.098282101,8.373310089,116.62663
7023,32,20,0.9375,878.8,129.0529337,0.318555391,12.99932289,173.94518
7023,32,30,1,1367.611111,152.4099353,0.540363946,15.78835201,224.47699
7023,32,40,1,1490.888889,167.402071,0.748743207,18.20854378,259.89331
7023,32,50,0.944444444,2215.647059,181.5022535,1,21.97107124,299.90948
7024,23,0,0.785714286,6291,0,0,0,0
7024,23,10,1,6475.857143,88.54530181,0.066586619,11.71647549,138.62802
7024,23,20,0.625,5709.9,182.2247985,0.126638647,19.27995491,244.02626
7024,23,30,0.769230769,6481.3,206.7809175,0.168836283,24.30709267,310.58539
7024,23,40,0.357142857,5133.8,235.4832606,0.290684197,28.38534355,375.09525
7024,23,50,0.5,7959.875,230.9992442,0.539062793,29.92738152,393.81564
7024,31,0,1,5428.0625,0,0,0,0
7024,31,10,0.769230769,6501.4,63.99197139,0.079880522,11.32691383,138.50137
7024,31,20,0.6,7645.666667,108.6271328,0.238485953,19.58734894,192.91887
7024,31,30,0.615384615,5643,145.4801846,0.412019651,26.74500084,243.56546
7024,31,40,0.5,7516.142857,163.4014972,0.578488109,29.18827057,273.14685
7024,31,50,0.615384615,6393.625,175.5941771,0.747053951,29.86698723,303.57336
7024,32,0,1,3473.230769,0,0,0,0
7024,32,10,0.705882353,4702.083333,78.32280687,0.098282101,8.373310089,116.62663
