subj,obj,Skeleton,Acc,RT,GBJ,GIST,HMAX,fc6
7001,23,0,1,2302.823529,0,0,0,0
7001,23,10,0.833333333,2860.866667,88.54530181,0.066586619,11.71647549,138.62802
7001,23,20,0.666666667,2682.083333,182.2247985,0.126638647,19.27995491,244.02626
7001,23,30,0.235294118,1845.75,206.7809175,0.168836283,24.30709267,310.58539
7001,23,40,0.055555556,1789,235.4832606,0.290684197,28.38534355,375.09525
7001,23,50,0.055555556,6560,230.9992442,0.539062793,29.92738152,393.81564
7001,31,0,0.8125,3089.923077,0,0,0,0
7001,31,10,0.764705882,3375.230769,63.99197139,0.079880522,11.32691383,138.50137
7001,31,20,0.5625,3192.444444,108.6271328,0.238485953,19.58734894,192.91887
7001,31,30,0.411764706,3441.285714,145.4801846,0.412019651,26.74500084,243.56546
7001,31,40,0.705882353,3850.5,163.4014972,0.578488109,29.18827057,273.14685
7001,31,50,0.333333333,3769.8,175.5941771,0.747053951,29.86698723,303.57336
7001,32,0,0.944444444,2450.176471,0,0,0,0
7001,32,10,0.375,3094.166667,78.32280687,0.098282101,8.373310089,116.62663
7001,32,20,0,NA,129.0529337,0.318555391,12.99932289,173.94518
7001,32,30,0.055555556,6451,152.4099353,0.540363946,15.78835201,224.47699
7001,32,40,0,NA,167.402071,0.748743207,18.20854378,259.89331
7001,32,50,0.055555556,3411,181.5022535,1,21.97107124,299.90948
7002,23,0,1,799.6666667,0,0,0,0
7002,23,10,0.944444444,794.3529412,88.54530181,0.066586619,11.71647549,138.62802
7002,23,20,1,790.8888889,182.2247985,0.126638647,19.27995491,244.02626
7002,23,30,1,898.7222222,206.7809175,0.168836283,24.30709267,310.58539
7002,23,40,0.944444444,855.4117647,235.4832606,0.290684197,28.38534355,375.09525
7002,23,50,1,1067.333333,230.9992442,0.539062793,29.92738152,393.81564
7002,31,0,0.875,1066.5,0,0,0,0
7002,31,10,0.9375,1048.133333,63.99197139,0.079880522,11.32691383,138.50137
7002,31,20,0.875,1169.428571,108.6271328,0.238485953,19.58734894,192.91887
7002,31,30,0.8125,1037.769231,145.4801846,0.412019651,26.74500084,243.56546
7002,31,40,0.75,1127.083333,163.4014972,0.578488109,29.18827057,273.14685
7002,31,50,0.733333333,932,175.5941771,0.747053951,29.86698723,303.57336
7002,32,0,0.888888889,881.0625,0,0,0,0
7002,32,10,0.722222222,1000,78.32280687,0.098282101,8.373310089,116.62663
7002,32,20,0.722222222,923.9230769,129.0529337,0.318555391,12.99932289,173.94518
7002,32,30,0.944444444,950.7058824,152.4099353,0.540363946,15.78835201,224.47699
7002,32,40,0.944444444,967.0588235,167.402071,0.748743207,18.20854378,259.89331
7002,32,50,1,771.6666667,181.5022535,1,21.97107124,299.90948
7003,23,0,1,1461.133333,0,0,0,0
7003,23,10,1,2145.588235,88.54530181,0.066586619,11.71647549,138.62802
7003,23,20,1,1568.833333,182.2247985,0.126638647,19.27995491,244.02626
7003,23,30,1,1284.705882,206.7809175,0.168836283,24.30709267,310.58539
7003,23,40,1,2176.444444,235.4832606,0.290684197,28.38534355,375.09525
7003,23,50,1,3193.5,230.9992442,0.539062793,29.92738152,393.81564
